prompt_idx,category,fragility_score,min_margin,mean_margin,median_margin,fragile_positions,total_positions,text
0,factual,0.25,0.00946044921875,3.4775807857513428,2.7195205688476562,64,256,Who wrote the novel 'The Scarlet Letter'?
1,factual,0.05078125,0.010110855102539062,7.051822662353516,7.2698259353637695,13,256,What is Pablo Picasso known for?
2,factual,0.1015625,0.01213836669921875,6.220233917236328,6.056844711303711,26,256,What language is primarily spoken in Mexico?
3,factual,0.0546875,0.025867462158203125,5.474152088165283,5.218354225158691,14,256,What is the typical lifespan of a octopus?
4,factual,0.05859375,0.00698089599609375,6.493827819824219,7.076683044433594,15,256,What is the chemical symbol for Cobalt?
5,factual,0.26953125,0.014560699462890625,3.448935031890869,2.6322526931762695,69,256,In what year did the Irish Potato Famine occur?
6,factual,0.03125,0.010959625244140625,6.760585784912109,7.052877426147461,8,256,What is Socrates known for?
7,factual,0.2265625,0.029798507690429688,4.397146224975586,4.273551940917969,58,256,Who wrote the novel 'The Bell Jar'?
8,factual,0.10546875,0.0129852294921875,6.547642230987549,6.855134010314941,27,256,What is Plato known for?
9,factual,0.07421875,0.0384979248046875,6.0480546951293945,6.528807640075684,19,256,What continent is India located on?
10,factual,0.171875,0.022924423217773438,4.477319717407227,5.289973258972168,44,256,Who wrote the novel 'The Old Man and the Sea'?
11,factual,0.05078125,0.026111602783203125,6.364801406860352,6.544028282165527,13,256,What continent is Ghana located on?
12,factual,0.15625,0.015659332275390625,5.102628707885742,5.006312370300293,40,256,What continent is Italy located on?
13,factual,0.12109375,0.011816024780273438,6.288975715637207,7.062527656555176,31,256,Who wrote the novel 'Gulliver's Travels'?
14,factual,0.10546875,0.020196914672851562,5.005281448364258,5.030909538269043,27,256,What language is primarily spoken in Tanzania?
15,factual,0.12109375,0.008615493774414062,4.763949394226074,5.342838287353516,31,256,What is Pythagoras known for?
16,factual,0.0703125,0.021192550659179688,6.313660621643066,6.527651786804199,18,256,Who wrote the novel 'Les Miserables'?
17,factual,0.12109375,0.020269393920898438,5.216400146484375,5.432912826538086,31,256,In what year did the launch of Sputnik occur?
18,factual,0.07421875,0.04680633544921875,5.811582088470459,6.44903564453125,19,256,What is the typical lifespan of a bat?
19,factual,0.140625,0.0054340362548828125,5.220946311950684,5.467181205749512,36,256,What is Ada Lovelace known for?
20,factual,0.140625,0.008546829223632812,5.69056510925293,5.96481990814209,36,256,What language is primarily spoken in Malaysia?
21,factual,0.04296875,0.04317665100097656,7.669398784637451,7.930500030517578,11,256,What continent is Australia located on?
22,factual,0.0859375,0.14911270141601562,5.441673755645752,5.737174987792969,22,256,What continent is Tunisia located on?
23,factual,0.08203125,0.10865974426269531,6.6239471435546875,7.166675567626953,21,256,Who wrote the novel 'Wuthering Heights'?
24,factual,0.03125,0.03714942932128906,6.928650856018066,7.3792924880981445,8,256,What is the typical lifespan of a wolf?
25,factual,0.11328125,0.038921356201171875,6.390031814575195,6.462787628173828,29,256,What is the capital of Romania?
26,factual,0.140625,0.13619232177734375,4.287181377410889,4.603791236877441,36,256,What is the capital of Indonesia?
27,factual,0.0859375,0.067047119140625,5.505535125732422,5.488376617431641,22,256,What language is primarily spoken in Peru?
